City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ambilobe,MG,2020-08-25 18:36:39,-13.2,49.05,70.07,80,0,5.53
70,Lompoc,US,2020-08-25 18:36:39,34.64,-120.46,73.4,82,90,10.29
71,Sola,VU,2020-08-25 18:36:39,-13.88,167.55,82.4,83,75,18.97
72,Sakakah,SA,2020-08-25 18:36:39,29.97,40.21,95.0,14,0,4.47
73,Byron Bay,AU,2020-08-25 18:36:39,-28.65,153.62,53.6,87,75,6.93
74,Rocha,UY,2020-08-25 18:36:39,-34.48,-54.33,65.95,72,100,15.55
75,Mingaora,PK,2020-08-25 18:31:52,34.78,72.36,76.89,73,85,0.74
76,Cape Town,ZA,2020-08-25 18:33:20,-33.93,18.42,60.01,93,75,5.82
77,Rawson,AR,2020-08-25 18:36:39,-43.3,-65.1,47.01,72,100,15.59
78,Tukrah,LY,2020-08-25 18:36:40,32.53,20.58,77.65,77,0,6.02
79,Boundiali,CI,2020-08-25 18:36:40,9.52,-6.49,72.75,90,100,5.08
80,Show Low,US,2020-08-25 18:31:46,34.25,-110.03,86.0,22,1,8.05
81,Opuwo,NA,2020-08-25 18:36:40,-18.06,13.84,63.59,51,0,6.69
82,Ushuaia,AR,2020-08-25 18:33:25,-54.8,-68.3,41.0,56,75,4.7
83,Sehithwa,BW,2020-08-25 18:36:40,-20.47,22.72,71.29,21,0,2.01
84,Kushima,JP,2020-08-25 18:36:40,31.46,131.23,79.41,88,9,10.49
85,Parana,AR,2020-08-25 18:36:41,-31.73,-60.52,89.01,38,0,8.01
86,Yellowknife,CA,2020-08-25 18:36:41,62.46,-114.35,55.4,93,90,8.05
87,Hasaki,JP,2020-08-25 18:33:06,35.73,140.83,77.0,88,75,3.36
88,San Policarpo,PH,2020-08-25 18:33:45,12.18,125.51,79.61,83,98,4.07
89,Salvador,SV,2020-08-25 18:36:41,13.83,-88.92,87.8,74,75,5.82
90,Gemena,CD,2020-08-25 18:36:41,3.25,19.77,72.5,93,100,2.04
91,Kaitangata,NZ,2020-08-25 18:36:41,-46.28,169.85,39.99,81,4,1.01
92,Cayenne,GF,2020-08-25 18:36:41,4.93,-52.33,84.2,70,90,3.36
93,Ciudad Bolivar,VE,2020-08-25 18:33:26,8.12,-63.55,89.98,56,65,6.33
94,Komsomolskiy,UZ,2020-08-25 18:36:41,40.43,71.72,73.4,53,59,2.24
95,Chuy,UY,2020-08-25 18:36:41,-33.7,-53.46,67.32,61,89,12.53
96,Vardo,NO,2020-08-25 18:36:41,70.37,31.11,53.6,76,0,14.99
97,Monforte De Lemos,ES,2020-08-25 18:36:42,42.52,-7.51,77.0,56,0,4.92
98,Yarada,IN,2020-08-25 18:36:42,17.65,83.27,80.6,94,90,2.24
99,De Aar,ZA,2020-08-25 18:33:03,-30.65,24.01,55.04,29,0,8.46
100,Provideniya,RU,2020-08-25 18:33:01,64.38,-173.3,49.03,86,99,3.89
101,Waipawa,NZ,2020-08-25 18:36:42,-41.41,175.52,48.2,57,100,25.28
102,Tuktoyaktuk,CA,2020-08-25 18:36:42,69.45,-133.04,44.6,100,90,5.82
103,Sioux Lookout,CA,2020-08-25 18:36:42,50.1,-91.92,66.2,72,90,8.05
104,San Quintin,MX,2020-08-25 18:36:42,30.48,-115.95,79.61,65,1,14.16
105,South Lake Tahoe,US,2020-08-25 18:33:37,38.93,-119.98,73.99,49,90,6.06
106,Nome,US,2020-08-25 18:36:42,64.5,-165.41,50.0,87,90,3.36
107,Dikson,RU,2020-08-25 18:36:42,73.51,80.55,46.49,97,0,4.16
108,Saint-Philippe,RE,2020-08-25 18:36:42,-21.36,55.77,68.0,82,20,4.7
109,Kaeo,NZ,2020-08-25 18:36:43,-35.1,173.78,46.99,3,0,7.0
110,Longyearbyen,SJ,2020-08-25 18:34:17,78.22,15.64,41.0,65,20,4.7
111,Khatanga,RU,2020-08-25 18:36:43,71.97,102.5,54.66,69,41,4.97
112,Rantepao,ID,2020-08-25 18:36:43,-2.97,119.9,64.06,88,46,1.41
113,Marawi,PH,2020-08-25 18:36:43,8.0,124.29,75.99,90,100,5.99
114,Bethel,US,2020-08-25 18:36:43,41.37,-73.41,87.8,45,1,9.17
115,Sangar,RU,2020-08-25 18:36:43,63.92,127.47,40.15,70,0,1.39
116,Mayo,US,2020-08-25 18:36:44,38.89,-76.51,91.0,62,1,6.93
117,Ozieri,IT,2020-08-25 18:36:44,40.59,9.0,86.0,22,0,12.75
118,Lucapa,AO,2020-08-25 18:36:44,-8.42,20.74,77.63,40,0,3.87
119,Grand-Lahou,CI,2020-08-25 18:36:44,5.14,-5.02,74.1,85,100,8.52
120,Bairiki,KI,2020-08-25 18:36:44,1.33,172.98,73.4,100,40,3.56
121,Poum,NC,2020-08-25 18:36:45,-20.23,164.02,70.48,79,47,8.32
122,Coahuayana,MX,2020-08-25 18:36:45,18.73,-103.68,78.8,83,90,6.11
123,Norman Wells,CA,2020-08-25 18:36:45,65.28,-126.83,60.8,77,75,3.36
124,The Valley,AI,2020-08-25 18:35:03,18.22,-63.06,89.6,74,20,14.99
125,Bengkulu,ID,2020-08-25 18:36:45,-3.8,102.27,76.66,82,98,8.75
126,Antalaha,MG,2020-08-25 18:36:45,-14.9,50.28,69.62,85,47,7.38
127,Richards Bay,ZA,2020-08-25 18:36:45,-28.78,32.04,69.48,83,0,14.2
128,Torbay,CA,2020-08-25 18:36:45,47.67,-52.73,64.0,72,75,11.41
129,Acarau,BR,2020-08-25 18:36:45,-2.89,-40.12,82.62,60,0,17.98
130,Tateyama,JP,2020-08-25 18:36:45,34.98,139.87,78.01,92,0,3.0
131,Lasa,IT,2020-08-25 18:33:36,46.62,10.7,77.0,50,20,5.82
132,Hithadhoo,MV,2020-08-25 18:36:45,-0.6,73.08,82.09,76,100,9.6
133,Hereford,GB,2020-08-25 18:36:45,52.06,-2.71,61.0,85,93,1.01
134,Poronaysk,RU,2020-08-25 18:36:46,49.22,143.12,61.88,94,10,6.76
